name,prev_position,team,xP,xA,xG,xGI,A,G,GI,bonus,bps,minutes,total_points,prev_price,GW,current_price,current_position,current_team
Ashley Young,DEF,Everton,-0.2,0.1,0.0,0.1,0,0,0,0,9,72,0,44,13,45.0,DEF,Everton
Aaron Cresswell,DEF,West Ham,0.8,0.0,0.0,0.0,0,0,0,0,0,0,0,42,13,40.0,DEF,West Ham
Sergio Reguilón,DEF,Man Utd,3.2,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,DEF,Spurs
Morgan Gibbs-White,MID,Nott'm Forest,6.7,0.45,1.12,1.57,1,1,2,2,48,90,12,57,13,65.0,MID,Nott'm Forest
Igor Julio dos Santos de Paulo,DEF,Brighton,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,13,45.0,DEF,Brighton
Fabian Schär,DEF,Newcastle,3.2,0.01,0.05,0.06,0,0,0,0,15,90,2,52,13,55.0,DEF,Newcastle
André Onana,GK,Man Utd,8.2,0.0,0.0,0.0,0,0,0,1,33,90,9,48,13,50.0,GK,Man Utd
Julián Álvarez,FWD,Man City,3.5,0.26,0.23,0.49,0,0,0,0,12,90,2,71,13,70.0,FWD,Man City
Maxwel Cornet,MID,West Ham,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,52,13,50.0,MID,West Ham
Caoimhin Kelleher,GK,Liverpool,-0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,39,13,45.0,GK,Liverpool
Chris Mepham,DEF,Bournemouth,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,43,13,45.0,DEF,Bournemouth
Facundo Buonanotte,MID,Brighton,1.3,0.01,0.0,0.01,0,0,0,0,-3,45,0,47,13,50.0,MID,Leicester
Rodrigo Muniz Carvalho,FWD,Fulham,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,60.0,FWD,Fulham
Fábio Ferreira Vieira,MID,Arsenal,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,13,55.0,MID,Arsenal
Cheick Doucouré,MID,Crystal Palace,1.2,0.22,0.0,0.22,0,0,0,0,12,53,1,50,13,50.0,MID,Crystal Palace
Joe Hodge,MID,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,MID,Wolves
