player_id,points
176,0
177,0
178,110
179,0
180,16
181,30
744,1
761,0
783,54
795,4
220,104
221,6
222,0
223,0
224,94
225,113
226,131
227,0
228,92
229,7
230,58
231,2
232,34
233,34
234,0
235,100
236,110
237,129
238,57
239,25
240,0
241,98
244,9
245,0
246,34
247,0
248,0
249,166
250,39
251,0
252,12
453,52
672,13
743,0
789,0
803,0
253,117
254,7
255,0
256,113
257,132
258,119
259,6
261,116
262,14
263,15
264,0
265,0
267,94
268,0
269,4
270,41
271,54
272,59
273,92
274,0
275,0
276,29
277,0
278,0
279,0
280,0
281,1
282,0
283,97
284,23
285,1
286,0
580,55
654,64
677,42
690,0
712,68
723,52
732,17
762,2
773,0
780,0
793,0
798,0
242,126
243,11
287,126
288,0
289,0
290,28
291,145
292,87
293,106
294,3
295,118
296,21
297,0
298,0
299,114
300,48
301,26
302,79
303,142
304,58
305,19
306,0
307,0
308,0
309,0
310,77
311,83
312,0
313,0
419,79
630,0
667,0
704,0
705,0
707,18
728,18
779,0
314,98
315,0
316,44
317,111
318,86
319,39
320,13
321,39
322,81
323,0
324,98
325,69
327,0
328,84
329,157
330,84
331,32
332,54
333,0
334,0
335,59
336,13
337,106
338,29
424,34
664,0
727,54
731,43
737,4
770,0
786,0
168,2
339,0
340,0
341,52
342,88
343,101
344,76
345,17
346,1
347,67
348,100
349,0
350,119
351,24
352,12
353,18
354,108
355,0
356,56
357,0
358,49
359,0
360,0
361,0
362,14
363,0
364,0
365,67
493,46
660,122
665,43
691,118
698,94
706,75
741,0
787,0
366,89
367,30
368,0
369,0
370,57
371,79
372,43
373,144
374,117
375,42
376,31
377,0
378,0
379,0
380,0
381,105
382,111
383,0
384,112
385,34
386,86
387,128
388,55
390,125
392,12
393,0
394,0
395,0
396,5
397,0
398,0
499,30
661,125
686,31
692,0
746,0
760,0
82,176
182,11
260,150
399,0
401,0
402,45
403,77
404,0
405,27
406,41
407,134
408,112
409,12
410,19
411,139
412,0
413,40
414,113
415,28
416,84
417,110
418,82
420,0
421,60
422,2
423,55
425,0
427,86
428,0
429,0
430,199
736,111
739,2
740,0
742,0
763,0
764,0
794,5
119,123
431,11
432,0
433,0
434,0
435,0
436,43
437,36
438,29
439,0
440,99
441,74
442,63
443,77
444,53
445,0
446,1
447,28
448,2
449,193
450,118
451,0
452,76
454,0
455,47
457,143
458,45
459,38
460,0
461,0
462,3
463,0
464,0
465,0
466,37
467,0
468,0
681,96
733,78
755,2
769,1
771,1
788,0
52,42
135,21
469,82
471,0
472,0
473,74
474,51
475,70
476,79
477,59
478,51
479,0
480,1
481,1
482,0
483,0
484,0
485,101
486,45
487,86
488,135
489,67
490,67
491,75
492,0
494,28
495,0
496,0
497,68
498,0
500,45
501,0
674,25
684,117
689,0
714,95
753,0
765,0
772,0
12,7
400,11
426,9
502,80
503,0
504,0
505,98
506,82
507,56
508,115
509,0
510,5
511,35
512,0
513,2
514,0
515,135
516,88
517,142
518,1
519,39
520,0
521,79
522,21
523,0
524,0
525,26
526,83
527,20
669,50
675,1
693,65
696,9
715,11
716,39
729,0
734,14
805,8
814,2
528,0
529,0
530,0
531,118
532,88
533,0
534,0
535,14
536,0
537,0
538,0
539,16
540,0
541,58
542,2
543,34
544,57
545,1
546,0
547,111
548,14
549,3
550,0
551,23
552,64
553,76
554,0
555,0
556,0
557,0
558,0
559,0
560,61
561,39
562,0
563,0
564,0
668,104
670,121
678,1
683,111
694,129
724,46
730,73
735,30
774,0
775,0
800,1
812,16
813,9
821,0
822,0
565,90
566,0
567,4
568,94
569,91
570,42
571,10
572,15
573,61
574,18
575,101
576,0
577,0
578,0
579,0
581,0
582,75
583,0
584,58
585,68
586,46
587,13
588,46
589,0
590,0
591,60
592,0
593,66
594,0
595,1
596,39
597,95
598,0
599,2
673,96
717,75
726,45
745,1
750,1
751,0
790,0
796,24
804,3
811,0
818,0
326,24
600,51
601,0
602,0
603,88
604,0
605,36
606,98
607,3
608,21
609,44
610,63
611,0
612,69
613,82
615,95
616,0
617,0
618,8
619,5
620,1
621,9
622,0
623,36
624,157
625,12
626,2
659,38
671,66
679,52
708,109
718,41
738,0
747,6
752,0
758,7
785,17
791,42
802,0
815,27
825,0
627,21
628,57
629,2
631,23
632,12
633,73
634,51
635,36
636,75
637,31
638,10
639,0
640,4
641,0
642,46
643,85
644,42
645,12
646,96
647,0
648,38
649,0
650,2
651,7
652,0
653,0
655,0
656,1
657,0
658,0
663,45
682,29
695,51
709,60
720,60
749,55
766,0
767,0
777,0
778,0
809,0
816,12
817,24
